"year"	"max_1"	"max_10"	"max_11"	"max_12"	"max_2"	"max_3"	"max_4"	"max_5"	"max_6"	"max_7"	"max_8"	"max_9"	"mean_1"	"mean_10"	"mean_11"	"mean_12"	"mean_2"	"mean_3"	"mean_4"	"mean_5"	"mean_6"	"mean_7"	"mean_8"	"mean_9"	"min_1"	"min_10"	"min_11"	"min_12"	"min_2"	"min_3"	"min_4"	"min_5"	"min_6"	"min_7"	"min_8"	"min_9"
1971	1,64354838709677	11,0935483870968	4,16166666666667	4,08548387096774	1,35535714285714	1,33064516129032	7,31	16,058064516129	18,6183333333333	21,641935483871	19,9435483870968	14,4183333333333	-0,743548387096774	7,55967741935484	1,30833333333333	1,55806451612903	-0,792857142857143	-1,74032258064516	3,64	10,8483870967742	14,04	17,0338709677419	15,8483870967742	11,0233333333333	-3,20483870967742	3,99354838709677	-2,21666666666667	-1,45645161290323	-3,30357142857143	-3,98548387096774	0,281666666666667	6,25483870967742	9,49166666666667	12,7612903225806	11,558064516129	7,90166666666667
1972	-1,21451612903226	10,3887096774194	6,15833333333333	5,38225806451613	1,33620689655172	4,61935483870968	7,575	13,8774193548387	20,1433333333333	23,8129032258065	19,7709677419355	14,34	-3,26935483870968	7,28548387096774	3,93	3,74677419354839	-0,367241379310345	1,07096774193548	3,89	9,29032258064516	15,4783333333333	19,5306451612903	16,158064516129	10,96	-5,38387096774194	4,34677419354839	1,415	1,57903225806452	-2,00344827586207	-1,89193548387097	1,19	4,96129032258064	11,255	15,2193548387097	12,5	7,01166666666667
1973	3,32741935483871	8,5241935483871	2,73833333333333	1,38548387096774	2,775	7,80806451612903	8,1	15,1322580645161	22,2466666666667	23,5596774193548	21,2193548387097	14,0383333333333	1,24354838709677	4,85483870967742	-0,251666666666667	-1,80161290322581	0,214285714285714	3,6758064516129	4,16166666666667	10,4177419354839	16,6516666666667	19,358064516129	16,1758064516129	10,885	-0,52258064516129	0,791935483870968	-3,70333333333333	-5,30806451612903	-2,29285714285714	0,358064516129032	1,06333333333333	6,4258064516129	11,7233333333333	15,2806451612903	11,2951612903226	7,02666666666667
1974	2,55483870967742	8,09354838709677	5,24	4,32903225806452	3,15714285714286	5,28225806451613	11,5883333333333	14,9258064516129	19,7783333333333	19,0838709677419	20,2854838709677	15,965	0,995161290322581	5,99032258064516	4,01833333333333	1,76451612903226	1,14642857142857	1,25645161290323	6,055	9,38709677419355	14,9283333333333	15,2145161290323	15,8225806451613	12,8966666666667	-0,788709677419355	3,50645161290323	1,56666666666667	-0,788709677419355	-1,15	-2,41612903225806	0,96	4,29193548387097	10,7066666666667	11,8161290322581	11,5516129032258	9,51666666666667
1975	4,39032258064516	10,7451612903226	5,35166666666667	4,95	3,30178571428571	4,73870967741935	8,68833333333333	15,4209677419355	19,7833333333333	23,2645161290323	23,8290322580645	17,215	2,13870967741935	7,94677419354839	3,74166666666667	1,5758064516129	-0,305357142857143	1,45322580645161	4,47333333333333	10,8967741935484	14,46	18,2677419354839	19,1064516129032	13,8233333333333	-0,340322580645161	4,95645161290323	1,57	-1,74193548387097	-3,65535714285714	-1,81774193548387	0,981666666666667	6,48548387096774	9,34	13,6612903225806	14,4370967741935	10,225
1976	-1,4	8,36129032258065	5,27	0,370967741935484	1,23103448275862	1,38225806451613	8,20333333333333	14,808064516129	19,82	21,9209677419355	22,0354838709677	14,2516666666667	-4,45322580645161	6,57258064516129	3,165	-2,10806451612903	-1,36551724137931	-2,16935483870968	4,21333333333333	9,99193548387097	14,75	17,1258064516129	16,691935483871	10,3316666666667	-8,32096774193548	4,46612903225806	0,973333333333333	-5,23225806451613	-3,81724137931034	-5,92258064516129	0,705	5,66935483870968	10,3616666666667	12,5435483870968	11,2129032258065	5,56
1977	0,196774193548387	10,8870967741935	5,85333333333333	2,86451612903226	-1,78392857142857	4,15	7,10166666666667	14,4306451612903	19,385	18,7435483870968	19,008064516129	14,1033333333333	-1,46290322580645	8,19354838709677	3,925	0,482258064516129	-4,07321428571429	1,01774193548387	2,92833333333333	9,57741935483871	14,7216666666667	14,658064516129	15,1322580645161	10,1783333333333	-3,61290322580645	3,6741935483871	1,07	-2,19677419354839	-6,28392857142857	-2,08548387096774	-0,166666666666667	4,99677419354839	10,7766666666667	11,3354838709677	11,0258064516129	5,87333333333333
1978	1,48548387096774	10,8016129032258	7,97833333333333	-2,83709677419355	-2,43035714285714	2,20483870967742	7,52	14,85	19,07	20,0532258064516	19,4709677419355	13,225	-0,617741935483871	7,14677419354839	5,50166666666667	-5,30645161290323	-5,00892857142857	-0,714516129032258	3,295	9,39193548387097	14,625	15,5741935483871	15,591935483871	10,3766666666667	-3,00322580645161	3,66935483870968	2,20166666666667	-8,99677419354839	-8,0125	-3,40645161290323	-0,588333333333333	5,07258064516129	10,22	11,9306451612903	11,3838709677419	7,00833333333333
1979	-3,32096774193548	8,40806451612903	5,56333333333333	1,21451612903226	-1,65178571428571	2,78709677419355	7,58166666666667	14,9064516129032	21,0883333333333	18,9790322580645	19,2161290322581	15,3633333333333	-6,56612903225806	5,49193548387097	3,315	-1,19677419354839	-5,93214285714286	-0,161290322580645	3,455	9,78709677419355	16,17	14,9983870967742	15,5112903225806	11,6133333333333	-9,69838709677419	2,11290322580645	0,733333333333333	-4,00806451612903	-9,84285714285714	-2,62741935483871	0,213333333333333	6,03064516129032	11,6066666666667	11,8870967741935	11,6161290322581	7,55833333333333
1980	-1,59516129032258	8,77903225806452	3,64	2,66290322580645	-2,25862068965517	0,864516129032258	10,5766666666667	13,4548387096774	20,5233333333333	21,8483870967742	18,6693548387097	16,07	-3,63709677419355	6,13709677419355	0,0966666666666667	-0,0145161290322581	-5,76724137931034	-2,22903225806452	5,205	8,45967741935484	15,6316666666667	17,4258064516129	15,3854838709677	12,9316666666667	-6,40483870967742	2,46935483870968	-3,22166666666667	-2,58548387096774	-8,6448275862069	-5,4741935483871	0,986666666666667	4,36129032258065	11,525	13,4387096774194	12,1290322580645	9,93833333333333
