"year" "id"
"241" "1988" "old_210"
"242" "1988" "old_1052"
"243" "1988" "old_214"
"244" "1988" "old_7"
"245" "1988" "old_286"
"246" "1988" "old_279"
"247" "1988" "old_239"
"248" "1988" "old_358"
"249" "1988" "old_1164"
"250" "1988" "old_418"
"251" "1988" "old_120"
"252" "1988" "old_869"
"253" "1988" "old_827"
"254" "1988" "old_125"
"255" "1988" "old_252"
"256" "1988" "old_196"
"257" "1988" "old_368"
"258" "1988" "old_133"
"259" "1988" "old_735"
"260" "1988" "old_103"
"261" "1988" "old_455"
"262" "1988" "old_87"
"263" "1988" "old_464"
"264" "1988" "old_197"
"265" "1988" "old_142"
"266" "1988" "old_223"
"267" "1988" "old_229"
"268" "1988" "old_251"
"269" "1988" "old_441"
"270" "1988" "old_431"
"271" "1988" "old_60"
"272" "1988" "old_6"
"273" "1988" "old_1108"
"274" "1988" "old_456"
"275" "1988" "old_66"
"276" "1988" "old_410"
"277" "1988" "old_462"
"278" "1988" "old_1045"
"279" "1988" "old_442"
"280" "1988" "old_57"
"281" "1988" "old_680"
"282" "1988" "old_405"
"283" "1988" "old_815"
"284" "1988" "old_99"
"285" "1988" "old_1028"
"286" "1988" "old_264"
"287" "1988" "old_336"
"288" "1988" "old_468"
"289" "1988" "old_458"
"290" "1988" "old_412"
"291" "1988" "old_465"
"292" "1988" "old_240"
"293" "1988" "old_452"
"294" "1988" "old_359"
"295" "1988" "old_395"
"296" "1988" "old_366"
"297" "1988" "old_283"
"298" "1988" "old_64"
"299" "1988" "old_222"
"300" "1988" "old_140"
"301" "1988" "old_245"
"302" "1988" "old_396"
"303" "1988" "old_176"
"304" "1988" "old_93"
"305" "1988" "old_443"
"306" "1988" "old_706"
"307" "1988" "old_453"
"308" "1988" "old_238"
"309" "1988" "old_354"
"310" "1988" "old_248"
"311" "1988" "old_419"
"312" "1988" "old_216"
"313" "1988" "old_414"
"314" "1988" "old_70"
"315" "1988" "old_282"
"316" "1988" "old_224"
"317" "1988" "old_404"
"318" "1988" "old_811"
"319" "1988" "old_460"
"320" "1988" "old_728"
"321" "1988" "old_432"
"322" "1988" "old_445"
"323" "1988" "old_62"
"324" "1988" "old_374"
"325" "1988" "old_391"
"326" "1988" "old_435"
"327" "1988" "old_145"
"328" "1988" "old_843"
"329" "1988" "old_3"
"330" "1988" "old_467"
"331" "1988" "old_457"
"332" "1988" "old_428"
"333" "1988" "old_274"
"334" "1988" "old_262"
"335" "1988" "old_22"
"336" "1988" "old_353"
"337" "1988" "old_212"
"338" "1988" "old_284"
"339" "1988" "old_139"
"340" "1988" "old_280"
"341" "1988" "old_401"
"342" "1988" "old_244"
"343" "1988" "old_370"
"344" "1988" "old_247"
"345" "1988" "old_727"
"346" "1988" "old_796"
"347" "1988" "old_867"
"348" "1988" "old_814"
"349" "1988" "old_95"
"350" "1988" "old_783"
"351" "1988" "old_792"
"352" "1988" "old_951"
"353" "1988" "old_31"
"354" "1988" "old_78"
"355" "1988" "old_291"
"356" "1988" "old_290"
"357" "1988" "old_416"
"358" "1988" "old_59"
"359" "1988" "old_221"
"360" "1988" "old_397"
"361" "1988" "old_424"
"362" "1988" "old_383"
"363" "1988" "old_275"
"364" "1988" "old_227"
"365" "1988" "old_182"
"366" "1988" "old_199"
"367" "1988" "old_73"
"368" "1988" "old_261"
"369" "1988" "old_345"
"370" "1988" "old_777"
"371" "1988" "old_101"
"372" "1988" "old_380"
"373" "1988" "old_79"
"374" "1988" "old_450"
"375" "1988" "old_98"
"376" "1988" "old_841"
"377" "1988" "old_92"
"378" "1988" "old_571"
"379" "1988" "old_325"
"380" "1988" "old_213"
"381" "1988" "old_96"
"382" "1988" "old_798"
"383" "1988" "old_211"
"384" "1988" "old_1026"
"385" "1988" "old_288"
"386" "1988" "old_426"
"387" "1988" "old_469"
