year	id	n_pred_holes	TOTAL_N_PRED_SEEDS	TOTAL_N_SEEDS
2008	1	0	0	0
2008	2	0	0	0
2008	3	0	0	0
2008	4	31	21,67741935	48
2008	5	0	0	0
2008	6	19	9	16
2008	7	0	0	0
2008	8	6,666666667	0	8
2008	9	35	23,42857143	82
2008	10	64,8	0	89,48571429
2008	11	0	0	0
2008	12	5	0	19
2008	13	0	0	0
2008	14	18	0	19
2008	15	39	12,54545455	46
2008	16	0	0	0
2008	17	14,4	0	13,2
2008	18	2,4	0	18
2008	19	4	0	6
2008	20	46,55172414	41,71034483	74,48275862
2008	21	109,2413793	0	96
2008	22	140	45,86666667	86
2008	23	12	5,6	21
2008	24	18,28571429	0	32
2008	25	0	0	11
2008	26	47,84	0	72,8
2008	27	13	0	24
2008	28	0	0	0
2008	29	0	0	0
2008	30	0	0	0
2008	31	21	0	46
2008	32	0	0	0
2008	33	0	0	0
2008	34	0	0	0
2008	35	39	0	44
2008	36	0	0	0
2008	37	11	0	21
2008	38	0	0	0
2008	39	2	0	3
2008	40	0	0	0
2008	41	0	0	0
2008	42	0	0	0
2008	43	0	0	0
2008	44	0	0	0
2008	45	0	0	0
2008	46	0	0	0
2008	47	0	0	0
2008	48	0	0	0
2008	49	13	4,285714286	10
2008	50	1,5	0	37,5
2008	51	0	0	0
2008	52	8	0	6
2008	53	0	0	0
2008	54	77,10144928	0	94,34782609
2008	55	0	0	0
2008	56	16	13	26
2008	57	0	0	0
2008	58	0	0	0
2008	59	0	0	0
2008	60	0	0	0
2008	61	12	0	19
2008	62	0	0	0
2008	63	0	0	0
2008	64	0	0	0
2008	65	0	0	0
2008	66	0	0	0
2008	67	0	0	0
2008	68	0	0	0
2008	69	0	0	0
2008	70	0	0	0
2008	71	0	0	0
2008	72	0	0	0
2008	73	0	0	0
2008	74	0	0	0
2008	75	31	0	37
2008	76	0	0	0
2008	77	0	0	0
2008	78	0	0	0
2008	79	0	0	0
2008	80	0	0	0
2008	81	0	0	0
2008	82	0	0	0
2008	83	0	0	0
2008	84	52	21	84
2008	85	3	0	10
2008	86	0	0	0
2008	87	0	0	0
2008	88	0	0	0
2008	89	0	0	0
2008	90	0	0	0
2008	91	10	0	37
2008	92	18	0	31
2008	93	4	0	10
2008	94	33	0	19,5
2008	95	27	10,93333333	41
2008	96	0	0	0
2008	97	41,6	0	32
2008	98	0	0	0
2008	99	0	0	0
2008	100	4	3	5
2008	101	5	0	6
2008	102	49,23809524	22,26190476	53,42857143
2008	103	7	4,384615385	19
2008	104	0	0	0
2008	105	36,61538462	28,71794872	43,07692308
2008	106	0	0	0
2008	107	21	0	22
2008	108	0	0	0
2008	109	29	13	13
2008	110	5	0	4
2008	111	56	14,15384615	23
2008	112	0	0	9
2008	113	21	16	30
2008	114	13	10	14
2008	115	10	0	17
2008	116	0	0	0
2008	117	3	0	11
2008	118	10	0	24
2008	119	0	0	0
2008	120	20,72727273	16,48484848	37,09090909
2008	121	28,8	0	33,06666667
2008	122	0	0	0
2008	123	1	0	11
2008	124	0	0	0
2008	125	2	0	14
2008	126	0	0	0
2008	127	0	0	0
2008	128	0	0	0
2008	129	0	0	0
2008	130	0	0	0
2008	131	16	0	16
2008	132	0	0	0
2008	133	24	0	13
2008	134	0	0	6
2008	135	0	0	0
2008	136	4	0	10
2008	137	0	0	0
2008	138	0	0	0
2008	139	0	0	0
2008	140	0	0	0
2008	141	0	0	0
2008	142	0	0	0
2008	143	0	0	0
2008	144	0	0	0
2008	145	0	0	0
2008	146	0	0	0
2008	147	0	0	0
2008	148	0	0	0
2008	149	0	0	0
2008	150	0	0	0
2008	151	0	0	0
2008	152	0	0	0
2008	153	0	0	0
2008	154	0	0	0
2008	155	0	0	0
2008	156	0	0	0
2008	157	0	0	0
2008	158	0	0	0
2008	159	0	0	0
2008	160	0	0	0
2008	161	0	0	0
2008	162	0	0	0
2008	163	0	0	0
2008	164	0	0	0
2008	165	0	0	0
2008	166	0	0	0
2008	167	0	0	0
2008	168	0	0	0
2008	169	0	0	0
2008	170	0	0	0
2008	171	0	0	0
2008	172	0	0	0
2008	173	0	0	0
2008	174	0	0	0
2008	175	0	0	0
2008	176	0	0	0
2008	177	0	0	0
2008	178	0	0	0
2008	179	0	0	0
2008	180	0	0	0
2008	181	0	0	0
2008	182	0	0	0
2008	183	0	0	0
2008	184	0	0	0
2008	185	0	0	0
2008	186	0	0	0
2008	187	0	0	0
2008	188	0	0	0
2008	189	0	0	0
2008	190	0	0	0
2008	191	0	0	0
2008	192	0	0	0
2008	193	0	0	0
2008	194	0	0	0
2008	195	0	0	0
2008	196	0	0	0
2008	197	0	0	0
2008	198	0	0	0
2008	199	0	0	0
2008	200	0	0	0
2008	201	0	0	0
2008	202	0	0	0
2008	203	0	0	0
2008	204	0	0	0
2008	205	0	0	0
2008	206	0	0	0
2008	207	0	0	0
2008	208	0	0	0
2008	209	0	0	0
2008	210	0	0	0
2008	211	13	0	18
2008	212	0	0	0
2008	213	0	0	0
2008	214	0	0	0
2008	215	0	0	0
2008	216	0	0	0
2008	217	0	0	0
2008	219	0	0	0
2008	220	0	0	0
2008	221	0	0	0
2008	222	0	0	0
2008	223	0	0	0
2008	224	0	0	0
2008	225	0	0	0
2008	226	0	0	0
2008	227	0	0	0
2008	228	0	0	0
2008	229	0	0	0
2008	230	0	0	0
2008	231	0	0	0
2008	232	0	0	0
2008	233	0	0	0
2008	234	0	0	0
2008	235	0	0	0
2008	236	0	0	0
2008	237	0	0	0
2008	238	0	0	0
2008	239	0	0	0
2008	240	0	0	0
2008	241	0	0	0
2008	242	0	0	0
2008	243	0	0	0
2008	244	0	0	0
2008	245	0	0	0
2008	246	0	0	0
2008	247	0	0	0
2008	248	0	0	0
2008	249	0	0	0
2008	250	0	0	0
2008	251	0	0	0
2008	252	0	0	0
2008	253	0	0	0
2012	1	0	0	0
2012	2	6	10	15
2012	3	13	8	20
2012	4	0	0	0
2012	5	0	0	0
2012	6	0	0	0
2012	7	35	5	10
2012	8	0	0	0
2012	9	24	7	31
2012	10	12	1	1
2012	11	0	0	0
2012	12	0	0	0
2012	13	8	6	6
2012	14	0	0	0
2012	15	0	0	0
2012	16	0	0	0
2012	17	0	0	0
2012	18	11	5	5
2012	19	0	0	0
2012	20	31	4	4
2012	21	17	11	11
2012	22	67	6	15
2012	23	0	0	0
2012	24	0	0	0
2012	25	0	0	0
2012	26	0	0	0
2012	27	4	11	11
2012	28	0	0	0
2012	29	0	0	0
2012	30	0	0	0
2012	31	0	0	0
2012	32	0	0	0
2012	33	12	11	11
2012	34	0	0	0
2012	35	75	3	19
2012	36	0	0	0
2012	37	27	6	31
2012	38	3	5	5
2012	39	35	7	14
2012	40	0	0	0
2012	41	0	0	0
2012	42	0	0	0
2012	43	17	6	6
2012	44	0	0	0
2012	45	0	0	0
2012	46	0	0	0
2012	47	0	0	0
2012	48	41	10	11
2012	49	74	5	21
2012	50	18	6	6
2012	51	0	0	0
2012	52	3	3	3
2012	53	0	0	0
2012	54	27	3	11
2012	55	21	7	12
2012	56	0	0	0
2012	57	10	6	11
2012	58	0	0	0
2012	59	0	0	0
2012	60	24	6	11
2012	61	0	0	0
2012	62	0	0	0
2012	63	0	0	0
2012	64	0	0	0
2012	65	0	0	0
2012	66	0	0	0
2012	67	0	0	0
2012	68	0	0	0
2012	69	0	0	0
2012	70	0	0	0
2012	71	0	0	0
2012	72	0	0	0
2012	73	0	0	0
2012	74	0	0	0
2012	75	0	0	0
2012	76	0	0	0
2012	77	0	0	0
2012	78	0	0	0
2012	79	0	0	0
2012	80	0	0	0
2012	81	0	0	0
2012	82	0	0	0
2012	83	0	0	0
2012	84	51	6	38
2012	85	0	0	0
2012	86	0	0	0
2012	87	0	0	0
2012	88	0	0	0
2012	89	0	0	0
2012	90	0	0	0
2012	91	40	3	10
2012	92	0	0	0
2012	93	0	0	0
2012	94	15	2	2
2012	95	1	0	0
2012	96	0	0	0
2012	97	0	0	0
2012	98	0	0	0
2012	99	0	0	0
2012	100	26	5	11
2012	101	22	4	4
2012	102	75	7	14
2012	103	4	0	0
2012	104	0	0	0
2012	105	0	0	0
2012	106	6	11	11
2012	107	5	6	6
2012	108	7	5	5
2012	109	0	0	0
2012	110	0	0	0
2012	111	40	7	7
2012	112	24	6	22
2012	113	0	0	0
2012	114	0	0	0
2012	115	25	3	8
2012	116	0	0	0
2012	117	0	0	0
2012	118	27	3	20
2012	119	0	0	0
2012	120	14	4	4
2012	121	0	0	0
2012	122	10	8	8
2012	123	8	4	4
2012	124	0	0	0
2012	125	7	4	4
2012	126	0	0	0
2012	127	0	0	0
2012	128	56	6	28
2012	129	0	0	0
2012	130	0	0	0
2012	131	0	0	0
2012	132	0	0	0
2012	133	4	1	1
2012	134	0	0	0
2012	135	0	0	0
2012	136	23	4	4
2012	137	0	0	0
2012	138	31	10	23
2012	139	0	0	0
2012	140	0	0	0
2012	141	0	0	0
2012	142	0	0	0
2012	143	0	0	0
2012	144	0	0	0
2012	145	0	0	0
2012	146	0	0	0
2012	147	0	0	0
2012	148	0	0	0
2012	149	0	0	0
2012	150	0	0	0
2012	151	0	0	0
2012	152	0	0	0
2012	153	0	0	0
2012	154	0	0	0
2012	155	0	0	0
2012	156	0	0	0
2012	157	0	0	0
2012	158	0	0	0
2012	159	0	0	0
2012	160	0	0	0
2012	161	0	0	0
2012	162	0	0	0
2012	163	0	0	0
2012	164	0	0	0
2012	165	0	0	0
2012	166	0	0	0
2012	167	0	0	0
2012	168	0	0	0
2012	169	0	0	0
2012	170	0	0	0
2012	171	0	0	0
2012	172	0	0	0
2012	173	0	0	0
2012	174	0	0	0
2012	175	0	0	0
2012	176	0	0	0
2012	177	0	0	0
2012	178	0	0	0
2012	179	0	0	0
2012	180	0	0	0
2012	181	0	0	0
2012	182	0	0	0
2012	183	0	0	0
2012	184	0	0	0
2012	185	0	0	0
2012	186	0	0	0
2012	187	0	0	0
2012	188	0	0	0
2012	189	0	0	0
2012	190	0	0	0
2012	191	0	0	0
2012	192	0	0	0
2012	193	0	0	0
2012	194	0	0	0
2012	195	0	0	0
2012	196	0	0	0
2012	197	0	0	0
2012	198	0	0	0
2012	199	0	0	0
2012	200	0	0	0
2012	201	0	0	0
2012	202	0	0	0
2012	203	0	0	0
2012	204	0	0	0
2012	205	0	0	0
2012	206	0	0	0
2012	207	0	0	0
2012	208	0	0	0
2012	209	0	0	0
2012	210	0	0	0
2012	211	0	0	0
2012	212	0	0	0
2012	213	14	9	27
2012	214	0	0	0
2012	215	0	0	0
2012	216	3	4	8
2012	217	22	7	9
2012	219	4	7	7
