year	id	data	FFD_corr	vernal	FFD_action	grazing	shoot_vol	shoot_vol_action	cum_n_fl	cum_n_fl_action	n_fr	n_ovules	total_n_seeds	total_n_intact_seeds
2006	40	1	NA	20/03/06 18:25	impute	0,6666666667	11457,92	ok_m	8	ok	0	0	0	0
2006	41	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	42	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	43	1	NA	20/03/06 18:25	impute	1	93,46	ok_p	NA	impute	0	0	0	0
2006	44	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	45	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	46	1	15/05/2006	20/03/06 18:25	withered	1	608,51	ok_p	6	ok	2	28	13	9
2006	47	1	18/05/2006	20/03/06 18:25	ok	0	1732,97	ok	12	ok	3	39	17	6,375
2006	48	1	18/05/2006	20/03/06 18:25	withered	0	4007,97	ok	34	ok	5	68	24	2
2006	49	1	NA	20/03/06 18:25	impute	0,8	4889,71	ok_m	10	ok	3	38	15	4
2006	50	1	18/05/2006	20/03/06 18:25	ok_g	0,3333333333	3539,79	ok_m	40	ok	9	125	60	34
2006	51	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	52	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	53	1	18/05/2006	20/03/06 18:25	withered	0	3202,53	ok	34	ok	8	107	29	0
2006	54	1	22/05/2006	20/03/06 18:25	withered	0	1174,08	ok	21	ok	3	35	11	0
2006	55	1	10/05/2006	20/03/06 18:25	ok	0	1374,60	ok	18	ok	6	86	25	25
2006	56	1	04/06/2006	20/03/06 18:25	ok_added	0	2872,11	ok	1	ok	0	0	0	0
2006	57	1	16/05/2006	20/03/06 18:25	ok	0	2746,64	ok	40	ok	9	123	44	24
2006	58	1	22/05/2006	20/03/06 18:25	ok_g	0,5	534,21	ok_p	7	ok	3	34	13	13
2006	59	1	22/05/2006	20/03/06 18:25	ok	0	853,74	ok	10	ok	1	13	5	4
2006	60	1	18/05/2006	20/03/06 18:25	ok	0	2408,32	ok	12	ok	3	39	18	6
2006	61	1	22/05/2006	20/03/06 18:25	ok	0	479,19	ok	5	ok	0	0	0	0
2006	62	1	NA	20/03/06 18:25	impute	1	511,30	ok	4	ok	0	0	0	0
2006	63	1	22/05/2006	20/03/06 18:25	withered	0	933,39	ok	7	ok	1	12	8	0
2006	64	1	15/05/2006	20/03/06 18:25	ok	0	2029,83	ok	28	ok	2	34	8	0
2006	65	1	14/05/2006	20/03/06 18:25	withered	0	2446,26	ok	21	ok	2	25	18	11
2006	66	1	14/05/2006	20/03/06 18:25	withered	1	2040,02	ok_m	22	ok	0	0	0	0
2006	67	1	16/05/2006	20/03/06 18:25	ok	0	1159,13	ok	13	ok	3	40	10	10
2006	68	1	16/05/2006	20/03/06 18:25	ok	0	1124,51	ok	14	ok	0	0	0	0
2006	69	1	15/05/2006	20/03/06 18:25	ok	0	2446,99	ok_m	34	ok	2	30	10	10
2006	70	1	18/05/2006	20/03/06 18:25	ok	0	873,60	ok	3	ok	0	0	0	0
2006	71	1	16/05/2006	20/03/06 18:25	ok	0	725,71	ok	7	ok	0	0	0	0
2006	72	1	14/05/2006	20/03/06 18:25	withered	0	3765,99	ok_m	20	ok	3	41	15	15
2006	73	1	14/05/2006	20/03/06 18:25	withered	0	1254,62	ok_m	22	ok	2	26	12	12
2006	74	1	22/05/2006	20/03/06 18:25	withered	0,5	NA	impute	9	ok	0	0	0	0
2006	75	1	30/05/2006	20/03/06 18:25	withered	0	1333,46	ok	3	ok	0	0	0	0
2006	76	1	22/05/2006	20/03/06 18:25	ok	0	1883,48	ok	8	ok	0	0	0	0
2006	77	1	04/06/2006	20/03/06 18:25	ok_added	0	1846,63	ok	3	ok	1	11	3	3
2006	78	1	24/05/2006	20/03/06 18:25	ok	0	1472,03	ok_m	9	ok	0	0	0	0
2006	79	1	22/05/2006	20/03/06 18:25	ok	0	556,83	ok_m	1	ok	0	0	0	0
2006	80	1	22/05/2006	20/03/06 18:25	withered	0	516,91	ok	4	ok	0	0	0	0
2006	81	1	26/05/2006	20/03/06 18:25	ok	0	385,20	ok	2	ok	0	0	0	0
2006	82	1	22/05/2006	20/03/06 18:25	ok	0	1221,15	ok	6	ok	0	0	0	0
2006	83	1	22/05/2006	20/03/06 18:25	ok	0	1021,81	ok	14	ok	0	0	0	0
2006	84	1	31/05/2006	20/03/06 18:25	ok_added	0	1005,61	ok	8	ok	1	11	3	3
2006	85	1	22/05/2006	20/03/06 18:25	withered	0	2718,85	ok	16	ok	1	14	4	0
2006	86	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	87	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	88	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	89	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	90	1	18/05/2006	20/03/06 18:25	withered	0	4989,83	ok	65	ok	10	141	56	38,7692307692
2006	91	1	17/05/2006	20/03/06 18:25	ok	0	3545,61	ok	34	ok	6	72	27	14,04
2006	92	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	93	1	13/05/2006	20/03/06 18:25	ok	0,2	7891,85	ok_m	35	ok	5	67	22	8
2006	94	1	13/05/2006	20/03/06 18:25	ok	0	2913,47	ok	36	ok	6	67	25	4,6875
2006	95	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	96	0	NA	20/03/06 18:25	NA	NA	440,34	NA	NA	NA	NA	NA	NA	NA
2006	97	1	18/05/2006	20/03/06 18:25	ok_added + withered	0,3333333333	4237,77	ok	36	ok	3	42	21	0
2006	98	1	NA	20/03/06 18:25	impute	1	1422,80	ok_m	NA	impute	1	10	4	1
2006	99	1	NA	20/03/06 18:25	impute	1	1971,68	ok_p	2	ok	0	0	0	0
2006	100	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	101	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	102	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	103	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	104	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	105	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	106	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	107	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	108	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	109	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	110	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	111	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	112	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	113	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	114	1	NA	20/03/06 18:25	impute	1	6228,23	ok_m	4	ok	0	0	0	0
2006	115	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	116	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	117	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	118	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	119	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	120	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	121	1	NA	20/03/06 18:25	impute	1	3483,92	ok	33	ok	7	94	31	15
2006	122	1	16/05/2006	20/03/06 18:25	ok	0	835,02	ok	3	ok	1	10	3	2
2006	123	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	124	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	125	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	126	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	127	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	128	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	129	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	130	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	131	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	132	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	133	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	134	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	135	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	136	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	137	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	138	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	139	1	21/05/2006	20/03/06 18:25	ok	0	863,09	ok	4	ok	0	0	0	0
2006	140	1	20/05/2006	20/03/06 18:25	ok	0	6852,44	ok	49	ok	10	125	84	44
2006	141	1	19/05/2006	20/03/06 18:25	ok	1	NA	impute	1	ok	0	0	0	0
2006	142	1	19/05/2006	20/03/06 18:25	ok	0	869,11	ok	9	ok	0	0	0	0
2006	143	1	17/05/2006	20/03/06 18:25	ok	0	917,35	ok	14	ok	0	0	0	0
2006	144	1	17/05/2006	20/03/06 18:25	ok	0	3511,00	ok	23	ok	3	42	25	25
2006	145	1	17/05/2006	20/03/06 18:25	ok	0	924,59	ok	12	ok	3	37	15	15
2006	146	1	17/05/2006	20/03/06 18:25	ok	0	2192,27	ok	16	ok	3	40	21	20
2006	147	1	19/05/2006	20/03/06 18:25	ok	0	371,96	ok	4	ok	1	13	2	0
2006	148	1	17/05/2006	20/03/06 18:25	ok	0	848,23	ok	5	ok	1	11	8	8
2006	149	1	17/05/2006	20/03/06 18:25	ok	0	743,94	ok	5	ok	0	0	0	0
2006	150	1	28/05/2006	20/03/06 18:25	ok	0	380,12	ok	3	ok	0	0	0	0
2006	151	1	17/05/2006	20/03/06 18:25	ok	0	2447,34	ok_m	27	ok	0	0	0	0
2006	152	1	17/05/2006	20/03/06 18:25	ok	0	5855,58	ok	58	ok	4	60	24	15,4285714286
2006	153	1	19/05/2006	20/03/06 18:25	ok	0	1028,04	ok	6	ok	1	13	9	1
2006	154	1	19/05/2006	20/03/06 18:25	ok	0	1279,34	ok	4	ok	0	0	0	0
2006	155	1	17/05/2006	20/03/06 18:25	ok	0	567,26	ok	4	ok	0	0	0	0
2006	156	1	17/05/2006	20/03/06 18:25	ok	0	1008,75	ok	7	ok	0	0	0	0
2006	157	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	158	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	159	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	160	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	161	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	162	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	163	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	164	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	165	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	166	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	167	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	168	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	169	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	170	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	171	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	172	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	173	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	174	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	175	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	176	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	177	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	178	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	179	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	180	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	181	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	182	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	183	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	184	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	185	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	186	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	187	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	188	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	189	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	190	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	191	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	192	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	193	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	194	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	195	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	196	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	197	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	198	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	199	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	200	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	201	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	202	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	203	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	204	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	205	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	206	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	207	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	208	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	209	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	210	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	211	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	212	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	213	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	214	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	215	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	216	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	217	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	219	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	220	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	221	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	222	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	223	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	224	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	225	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	226	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	227	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	228	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	229	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	230	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	231	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	232	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	233	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	234	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	235	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	236	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	237	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	238	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	239	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	240	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	241	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	242	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	243	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	244	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	245	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	246	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	247	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	248	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	249	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	250	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	251	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	252	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006	253	0	NA	20/03/06 18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007	1	0	NA	21/03/07 00:14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007	2	1	NA	21/03/07 00:14	impute	0	253,39	ok	4	ok	1	23	8	0
2007	3	1	NA	21/03/07 00:14	impute	0	2525,01	ok_m	28	ok	7	87	20	4,4444444444
2007	4	1	05/05/2007	21/03/07 00:14	ok	0	3498,95	ok	46	ok	1	14	4	2
2007	5	0	NA	21/03/07 00:14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007	6	1	12/05/2007	21/03/07 00:14	ok	0	5754,45	ok_m	27	ok	1	13	5	2
2007	7	1	16/05/2007	21/03/07 00:14	ok	0	1887,37	ok_m	27	ok	0	0	0	0
2007	8	1	18/05/2007	21/03/07 00:14	ok	0	1977,45	ok_m	17	ok	0	0	0	0
2007	9	1	06/05/2007	21/03/07 00:14	ok	0	10456,69	ok_m	85	ok	6	79	25	8,3333333333
2007	10	1	03/05/2007	21/03/07 00:14	ok	0	19662,95	ok_m	290	ok	5	62	22	7
2007	11	1	NA	21/03/07 00:14	impute	0,5	482,55	ok_m	8	ok	2	28	14	8
2007	12	1	12/05/2007	21/03/07 00:14	ok	0	2919,24	ok_m	51	ok	7	93	38	12
2007	13	1	08/05/2007	21/03/07 00:14	ok_g	0,25	3499,35	ok_m	16	ok	0	0	0	0
2007	14	1	05/05/2007	21/03/07 00:14	ok	0	2870,67	ok_m	32	ok	5	62	11	0
2007	15	1	17/05/2007	21/03/07 00:14	ok	0	2081,24	ok	16	ok	2	28	18	14
2007	16	1	15/05/2007	21/03/07 00:14	ok	0	1080,68	ok	37	ok	0	0	0	0
2007	17	1	NA	21/03/07 00:14	impute	0,5	507,69	ok_m	7	ok	0	0	0	0
2007	18	1	05/05/2007	21/03/07 00:14	ok	0	333,43	ok	10	ok	0	0	0	0
2007	19	1	07/05/2007	21/03/07 00:14	ok	0	1307,41	ok	9	ok	6	70	26	19,5
2007	20	1	04/05/2007	21/03/07 00:14	ok_g	0,2	5139,87	ok	66	ok	19	268	79	24
2007	21	0	NA	21/03/07 00:14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
